Experimental_Interaction	db	publications
"[{'A0A0H2WCN0', 'P13056'}]"	Manual	{'23800426'}
"[{'P13056', 'A0A2P0HLN8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13164', 'Q8D0N9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13164', 'Q9ZC41'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13224', 'Q81KT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZED8', 'P13236'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZA76', 'P13236'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13284', 'A0A0H3LD76'}]"	IntAct	{'30118682'}
"[{'P13284', 'A0A5P8YKP4'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84388', 'P13489'}]"	IntAct	{'26118995'}
"[{'P13489', 'O84326'}]"	IntAct	{'26118995'}
"[{'A0A0F6AZQ1', 'P13489'}]"	Manual	{'34237247'}
"[{'Q81VT8', 'P13497'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13498', 'P03468'}]"	HPIdb	{'26789921'}
"[{'Q833V7', 'P13500'}]"	Manual	{'32051237'}
"[{'P13501', 'A0A3N4B6Z3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13501', 'Q8D0E1'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7ARD3', 'P13501'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZY0', 'P13501'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YAW1', 'P13501'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13501', 'A0A2U2H0M0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13591', 'A0A1U8QJX3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13591', 'A0A2U2GWL4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13591', 'A0A0H2W593'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PE22', 'P13598'}]"	HPIdb;IntAct	{'20711500'}
"[{'B2UM07', 'P13598'}]"	Manual	{'33820962'}
"[{'P13598', 'A0A380PNP6'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8G8T7', 'P13598'}]"	HPIdb;IntAct	{'20711500'}
"[{'P59807', 'P13611'}]"	HPIdb;IntAct	{'23601700'}
"[{'P13640', 'Q7CGS4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13645', 'A0A0S2Z342'}]"	Manual	{'30242281'}
"[{'P03427', 'P13645'}]"	HPIdb	{'25464832'}
"[{'P13645', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P05777', 'P13645'}]"	HPIdb	{'25464832'}
"[{'P03427', 'P13647'}]"	HPIdb	{'25464832'}
"[{'P15682', 'P13647'}]"	HPIdb	{'25464832'}
"[{'O84952', 'P13667'}]"	Manual	{'31611645'}
"[{'P03118', 'P13667'}]"	HPIdb;IntAct	{'22761572'}
"[{'P03468', 'P13667'}]"	HPIdb;IntAct	"{'26789921', '28169297'}"
"[{'Q99XU7', 'P13671'}]"	Manual	{'31227708'}
"[{'P13674', 'P03496'}]"	HPIdb;IntAct	{'28169297'}
"[{'Q04884', 'P13688'}, {'P13688', 'Q04883'}]"	IntAct	{'27442026'}
"[{'Q8GH87', 'P13688'}]"	HPIdb;IntAct	{'18497748'}
"[{'P13693', 'A0A0H2W3W7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A5P8YAI4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A6L7HKS1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A0H2W0I2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A380SBC9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A6L8PRR8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'Q5NGF1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A6B3T508'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'Q4VP87'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'Q5NFD2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'Q7CIZ3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A2P0HLN8'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HKJ0', 'P13693'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'P06929'}]"	IntAct	{'22898364'}
"[{'P13693', 'A0A0H2W2U0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17778', 'P13693'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D0H2', 'P13693'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'A0A380PDY1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13693', 'Q8ZHG0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13796', 'A0A380PE06'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13796', 'A0A6L7H1G2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13796', 'A0A380PIN3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13796', 'Q81MS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13796', 'Q81LD0'}]"	HPIdb;IntAct	{'20711500'}
"[{'A8K579', 'E1WAC6'}]"	Manual	{'22213674'}
"[{'A0A0H2XDA5', 'P13804'}]"	Manual	{'23800426'}
"[{'A0A380PH15', 'P13804'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2WCN0', 'P13804'}]"	Manual	{'23800426'}
"[{'Q83AQ5', 'Q99LC5'}]"	HPIdb;IntAct	{'29176882'}
"[{'Q83BP6', 'P13804'}]"	HPIdb;IntAct	{'29176882'}
"[{'P06465', 'P13807'}]"	HPIdb	{'22898364'}
"[{'P13861', 'A0A6L7HI19'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HBY9', 'P13861'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7RE19', 'P13861'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H9A7', 'P13861'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81XR1', 'P13861'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q56061', 'P13861'}]"	Manual	{'31611645'}
"[{'Q8ZI61', 'P13861'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1D2', 'A4QPH0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13984', 'A0A6L8PXB3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13984', 'Q8ZFW5'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2Y5T2', 'P13984'}, {'P13984', 'A0A5P8YE87'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13984', 'Q81KT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P13987', 'Q5NEC5'}]"	IntAct	{'26714771'}
"[{'P13987', 'Q0WJ73'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P14136'}]"	HPIdb;IntAct	{'28611246'}
"[{'P28272', 'P14136'}]"	BioGrid;HPIdb;IntAct	{'27107014'}
"[{'P14174', 'P03496'}]"	HPIdb;IntAct	{'22810585'}
"[{'A0A0H2YFT8', 'P14314'}, {'A0A6B3T1W4', 'P14314'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2W3W7', 'P14316'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q74XD3', 'P14317'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GXT2', 'P14317'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14317', 'Q8CLC4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14317', 'Q8CZV1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14324', 'A0A2B3Y6C6'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PE10', 'P14324'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8NUC0', 'P14373'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HHX2', 'P14373'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CZR5', 'P14373'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14384', 'A0A3N4B6K1'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H7R4', 'P14543'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14543', 'Q8ZD36'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14543', 'Q8D0Q9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14543', 'A0A6L7HB40'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14543', 'A0A6L7HA34'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14550', 'Q8CZT6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14550', 'P06465'}]"	HPIdb	{'22898364'}
"[{'Q5NI85', 'P14618'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PZH2', 'P14618'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7RE19', 'P14618'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8P8C7', 'P14618'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A384KSJ5'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A0H2YBK8'}, {'P14618', 'A0A6B3T437'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A0H2W1K6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A2S9PFM0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A656FBG2'}, {'P14618', 'A0A7D9NKM6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q8ZA77'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q0WJY2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A3U0CSM5'}]"	Manual	{'34237247'}
"[{'P14618', 'Q99XU7'}]"	Manual	{'31227708'}
"[{'P14618', 'Q9ZC68'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q8CZR5'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P14618', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P14618', 'P06465'}]"	IntAct	{'22898364'}
"[{'P14618', 'A0A5P8YLE8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A2U2GXG2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q0WHD7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q5NFB1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q5NF37'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A3N4AZM6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A380PFG3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q8ZA76'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q8ZH50'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'A0A0F6B423'}]"	Manual	{'34237247'}
"[{'P14618', 'Q0WJG4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14618', 'Q8ZBQ3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'O84952'}]"	Manual	{'31611645'}
"[{'P14625', 'A0A6H3AEH9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'O84951'}]"	Manual	{'31611645'}
"[{'P14625', 'Q5NF50'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'A0A6L7HKS5'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'Q81VT8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'Q8ZKP1'}]"	Manual	{'30072965'}
"[{'P14625', 'P03427'}]"	HPIdb	{'25464832'}
"[{'P14625', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P14625', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P14625', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P14625', 'Q8ZFU4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'P06821'}]"	HPIdb	{'26789921'}
"[{'P14625', 'A0A3N4B6K1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'Q8ZAQ2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'Q8ZI64'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14625', 'Q8ZAL3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14635', 'P06929'}]"	IntAct	{'22898364'}
"[{'P14678', 'Q8ZES0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14678', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P14678', 'P03496'}]"	HPIdb	{'26789921'}
"[{'P14678', 'P05777'}]"	HPIdb	{'25464832'}
"[{'O84388', 'P14735'}]"	IntAct	{'26118995'}
"[{'P14780', 'A0A380PFG3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14780', 'Q9ZFS6'}]"	IntAct	{'29328525'}
"[{'Q7CKP5', 'P14784'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14859', 'Q7ARK4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14866', 'A0A3G5KJE1'}, {'A0A6B3T220', 'P14866'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14866', 'A0A6H3AEH9'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14866', 'D0ZIB5'}]"	Manual	{'34237247'}
"[{'P03427', 'P14866'}]"	HPIdb	{'25464832'}
"[{'P14866', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P03496', 'P14866'}]"	HPIdb;IntAct	{'22810585'}
"[{'P05777', 'P14866'}]"	HPIdb	{'25464832'}
"[{'A0A3N4BUB9', 'P14866'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HHX2', 'P14868'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14868', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P03496', 'P14868'}]"	HPIdb	{'26789921'}
"[{'P14868', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P14902', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'Q5NEM9', 'P14902'}]"	IntAct	{'26714771'}
"[{'P14902', 'A0A0H2WBX3'}]"	Manual	{'23800426'}
"[{'Q5NHT8', 'P14902'}]"	IntAct	{'26714771'}
"[{'Q8D0V8', 'P14902'}]"	HPIdb;IntAct	{'20711500'}
"[{'P14921', 'Q8CKW8'}]"	HPIdb;IntAct	{'20711500'}
"[{'O84951', 'P14923'}]"	Manual	{'22213674'}
"[{'C7H4X2', 'P14923'}]"	Manual	{'31503404'}
"[{'P14923', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P06821', 'P14923'}]"	HPIdb	{'26789921'}
"[{'P06929', 'P14923'}]"	HPIdb	{'22898364'}
"[{'Q56061', 'P14923'}]"	Manual	{'31611645'}
"[{'Q8ZMM8', 'P14923'}]"	Manual	{'31611645'}
"[{'Q5NFP9', 'P14927'}]"	IntAct	{'26714771'}
"[{'A0A5P8YMC6', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PNP6', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3N4B9W7', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15036', 'Q81P27'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15036', 'Q8D1C5'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGR6', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A380PHE5', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZHI8', 'P15036'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q1WSY0', 'P15085'}]"	Manual	{'28281568'}
"[{'A0A6L7H121', 'P15104'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15104', 'A0A0H3LA99'}]"	IntAct	{'30118682'}
"[{'Q5NII1', 'P15104'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15104', 'A0A2P0HKX3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'P15121'}]"	HPIdb	{'26789921'}
"[{'Q5NFP9', 'P15121'}]"	IntAct	{'26714771'}
"[{'P15144', 'Q5NHN5'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15144', 'Q81VV3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81JW1', 'P15144'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F6B1Q8', 'P15144'}]"	Manual	{'34237247'}
"[{'Q0WBF9', 'P15153'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15153', 'Q5NH32'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15169', 'Q99XV0'}]"	Manual	{'31227708'}
"[{'Q5NHH2', 'Q8R050'}]"	IntAct	{'26714771'}
"[{'P03496', 'P15259'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q5NEC0', 'P15260'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15260', 'A0A3N4B3A1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15289', 'Q8CZH7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15291', 'P03468'}]"	HPIdb	{'26789921'}
"[{'P15311', 'A0A0H3LA99'}]"	IntAct	{'30118682'}
"[{'P15311', 'Q5NEC0'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15311', 'Q7CIZ7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15311', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P15311', 'P05777'}]"	HPIdb	{'25464832'}
"[{'P15311', 'P06465'}]"	HPIdb	{'22898364'}
"[{'P15311', 'Q62M26'}]"	Manual	{'23800426'}
"[{'P15336', 'A0A5P8YJE6'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15336', 'A0A3N4B192'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D1D2', 'P15336'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15336', 'Q74R28'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15514', 'Q8CZM8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03118', 'P15514'}]"	HPIdb;IntAct	{'22761572'}
"[{'P95493', 'P15516'}]"	HPIdb;IntAct	{'23499434'}
"[{'P17452', 'P15529'}]"	HPIdb;IntAct	{'20534589'}
"[{'Q8D1H5', 'P15529'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZIL5', 'P15529'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15586', 'Q8CLP4'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15692', 'A0A6L7H121'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15692', 'Q5NIG1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15692', 'A0A6H3AK62'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15735', 'Q81VV7'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15814', 'Q2GHU2'}]"	IntAct	{'19273555'}
"[{'A0A384KHE2', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D0G2', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H4W8', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZCW1', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03496', 'P15822'}]"	HPIdb;IntAct	{'23853584'}
"[{'P03508', 'P15822'}]"	HPIdb;IntAct	{'23853584'}
"[{'A0A3N4B351', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2U2GXX7', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZAR2', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8D097', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YBL8', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8Z9S7', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81SW8', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGR6', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2YGU6', 'P15822'}, {'A0A6B3T6Y5', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A384KEI8', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8ZGX4', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7HLW1', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81P26', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A3Q0PRJ6', 'P15822'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P15880'}]"	HPIdb	{'25464832'}
"[{'P03496', 'P15880'}]"	HPIdb;IntAct	{'22810585'}
"[{'P05777', 'P15880'}]"	HPIdb	{'25464832'}
"[{'P69968', 'P15880'}]"	HPIdb;IntAct	{'21911467'}
"[{'P15907', 'Q8D1G8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P15924', 'O84952'}]"	Manual	{'22213674'}
"[{'A0A009H9N2', 'P15924'}]"	Manual	{'26548613'}
"[{'P15924', 'A0A427X4X7'}]"	Manual	{'26548613'}
"[{'P04489', 'P15927'}]"	HPIdb;IntAct	{'19197236'}
"[{'P03265', 'P15927'}]"	HPIdb;IntAct	{'19197236'}
"[{'P15941', 'Q5NGW2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0F7RE19', 'P16070'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16070', 'P18011'}]"	HPIdb;IntAct	{'11207560'}
"[{'P0A6B8', 'P16070'}]"	HPIdb	{'11983079'}
"[{'A0A0F6B1Q8', 'P16070'}]"	Manual	{'34237247'}
"[{'P16083', 'Q8ZB88'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81VE1', 'P16083'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16083', 'A0A2S9PKI3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16109', 'Q2FZB8'}]"	HPIdb;IntAct	{'26627825'}
"[{'Q5NHP5', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8PBD5', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NI74', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A2S9PFM0', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NFR6', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A5P8YMM0', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03118', 'P16144'}]"	HPIdb;IntAct	{'22761572'}
"[{'P06465', 'P16144'}]"	IntAct	{'22898364'}
"[{'A0A5P8YHM7', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q9ZGW6', 'P16144'}]"	HPIdb;IntAct	{'21911467'}
"[{'Q56989', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NH47', 'P16144'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P16152'}]"	HPIdb	{'25464832'}
"[{'P16220', 'Q8CZU2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q8CKF8', 'P16234'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16284', 'A0A2S9PLS3'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16333', 'A0A0H2WH45'}]"	Manual	{'23800426'}
"[{'Q81VT8', 'P16333'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L8P747', 'P16333'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q7VLE8', 'P16333'}]"	IntAct	{'24902122'}
"[{'P03427', 'P16401'}]"	HPIdb	{'25464832'}
"[{'P16401', 'P15682'}]"	HPIdb	{'25464832'}
"[{'B7GXS7', 'P16403'}]"	Manual	{'26548613'}
"[{'P03427', 'P16403'}]"	HPIdb	{'25464832'}
"[{'P16403', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A0A0H2XDM6', 'P16422'}]"	Manual	{'23800426'}
"[{'Q5NFP9', 'P16422'}]"	IntAct	{'26714771'}
"[{'Q62B10', 'P16422'}]"	Manual	{'23800426'}
"[{'Q62M26', 'P16422'}]"	Manual	{'23800426'}
"[{'A0A4Y1WE58', 'P16455'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16520', 'P03496'}]"	HPIdb;IntAct	{'22810585'}
"[{'Q8CZL1', 'P16671'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16671', 'Q74XD3'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NG28', 'P16671'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16671', 'Q0WEI1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16671', 'Q8CZS2'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A0H2XDM6', 'P16870'}]"	Manual	{'23800426'}
"[{'P16871', 'Q5NIP8'}]"	IntAct	{'26714771'}
"[{'P16871', 'Q0WC40'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16871', 'Q5NE77'}]"	IntAct	{'26714771'}
"[{'A0A6L7HGM4', 'P16885'}]"	HPIdb;IntAct	{'20711500'}
"[{'P16949', 'Q5NFD2'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NH45', 'P16949'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q5NGA0', 'P16949'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P16989'}]"	HPIdb	{'25464832'}
"[{'P03433', 'P16989'}]"	HPIdb	{'26789921'}
"[{'P15682', 'P16989'}]"	HPIdb	{'25464832'}
"[{'P03496', 'P16989'}]"	HPIdb;IntAct	{'22810585'}
"[{'A0A0H2W2T4', 'P16989'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H5N1', 'P17010'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17027', 'Q62B10'}]"	Manual	{'23800426'}
"[{'P17028', 'Q5NID2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17028', 'A0A6L7HRA4'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81WE9', 'P17028'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17031', 'Q8ZIH1'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17036', 'Q9RI12'}]"	HPIdb;IntAct	{'20711500'}
"[{'A0A6L7H1P7', 'P17066'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P17066'}]"	HPIdb;IntAct	{'30833792'}
"[{'P03427', 'P17096'}]"	HPIdb	{'25464832'}
"[{'P17096', 'P15682'}]"	HPIdb	{'25464832'}
"[{'P05777', 'P17096'}]"	HPIdb	{'25464832'}
"[{'P12520', 'P17152'}]"	HPIdb;IntAct	{'22190034'}
"[{'P17181', 'A0A3N4B5H8'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17275', 'Q8ZGV2'}]"	HPIdb;IntAct	{'20711500'}
"[{'P17301', 'Q83A33'}]"	HPIdb;IntAct	{'29176882'}
"[{'P17301', 'Q56061'}]"	Manual	{'31611645'}
"[{'P17480', 'P15682'}]"	HPIdb	{'25464832'}
"[{'A0A6L7H2Q9', 'P17612'}]"	HPIdb;IntAct	{'20711500'}
"[{'Q81VT8', 'P17612'}]"	HPIdb;IntAct	{'20711500'}
"[{'P03427', 'P17612'}]"	HPIdb	{'25464832'}
"[{'B0B9M5', 'P17655'}, {'P17655', 'P0DJI5'}]"	IntAct	{'26118995'}
"[{'A0A0H2WJE4', 'P17655'}]"	Manual	{'23800426'}
